;trimestre;nomeBandeira;nomeFuncao;produto;qtdCartoesEmitidos;qtdCartoesAtivos;qtdTransacoesNacionais;valorTransacoesNacionais;qtdTransacoesInternacionais;valorTransacoesInternacionais;data
0;20112;Diners Club;Crédito;Intermediário;434351;309953;4218564;671770266,1;156925;41586955,37;2011-04-01
1;20172;MasterCard;Débito;Premium;196991;116111;1869601;181622759,48;3204;1593307,54;2017-04-01
2;20122;MasterCard;Débito;Premium;146656;74267;658477;57929494,87;7305;2316676,64;2012-04-01
3;20211;MasterCard;Débito;Básico Internacional;83088117;21554284;567370086;39064611985,99;27511;9502222,14;2021-01-01
4;20211;MasterCard;Crédito;Premium;2197074;1785104;107175156;21107092218,04;1234605;631224037,1;2021-01-01
5;20154;Elo;Crédito;Empresarial;306071;98958;991979;476517461,49;0;0,0;2015-10-01
6;20141;Elo;Crédito;Empresarial;10564;4076;16922;19078899,3;0;0,0;2014-01-01
7;20213;MasterCard;Débito;Platinum;864416;385714;9028660;816062254,61;1730;761974,94;2021-07-01
8;20161;Elo;Débito;Outros;39676261;13569281;133566608;7527158555,6;0;0,0;2016-01-01
9;20233;Elo;Débito;Empresarial;989166;394867;9191895;1227528692,45;0;0,0;2023-07-01
10;20191;MasterCard;Débito;Premium;211226;115589;1931664;186615895,98;5099;2129487,09;2019-01-01
11;20182;MasterCard;Débito;Premium;204756;116143;1947513;188355502,86;4302;1817118,7;2018-04-01
12;20202;MasterCard;Crédito;Empresarial;2012146;1461916;15100296;3788427501,75;264777;172009818,53;2020-04-01
13;20241;Elo;Pré-Pago;Premium;6726;0;978;81617,26;0;0,0;2024-01-01
14;20214;Bandeira própria;Pré-Pago;Outros;591217;246442;502900338;895538643,09;0;0,0;2021-10-01
15;20212;MasterCard;Crédito;Outros;17649299;5982166;72472050;7428326531,97;103424;14094559,49;2021-04-01
16;20154;VISA;Crédito;Premium;660876;492751;33837057;5769788455,58;1138548;451666380,99;2015-10-01
17;20191;VISA;Crédito;Platinum;5152635;3788951;179935751;22879997226,87;3331944;1024731079,43;2019-01-01
18;20144;Outras;Crédito;Básico Nacional;1305116;304883;118144;82424785,57;0;0,0;2014-10-01
19;20143;MasterCard;Débito;Básico Internacional;121501342;38426735;568540737;33444199947,53;175796;40356844,38;2014-07-01
20;20134;Elo;Crédito;Básico Nacional;3698272;1150141;9230085;499945030,55;50;1509,13;2013-10-01
21;20123;Outras;Crédito;Outros;2159468;164928;489033;70278893,95;5;372,41;2012-07-01
22;20112;Outras;Crédito;Outros;2779349;534015;1840032;177824734,4;1420;87745,16;2011-04-01
23;20223;MasterCard;Crédito;Corporativo;166240;103685;4327659;2231853629,57;242147;253636834,65;2022-07-01
24;20153;American Express;Crédito;Empresarial;97065;29729;924110;219464164,78;34038;24572981,4;2015-07-01
25;20201;VISA;Pré-Pago;Empresarial;1418;1082;18586;1585466,24;0;0,0;2020-01-01
26;20114;VISA;Crédito;Corporativo;491084;238525;3254579;1431979785,64;171919;85837615,1;2011-10-01
27;20234;MasterCard;Débito;Empresarial;1840152;431006;15493534;1033834993,12;26;22958,43;2023-10-01
28;20241;Outras;Crédito;Básico Internacional;85387;72412;29448;14139619,5;0;0,0;2024-01-01
29;20231;American Express;Crédito;Corporativo;68432;49995;1165487;1023587778,22;83905;134122134,34;2023-01-01
30;20202;Elo;Débito;Empresarial;711850;301075;4930991;643004234,76;0;0,0;2020-04-01
31;20232;VISA;Crédito;Intermediário;30269172;18566843;417828581;48914061616,01;1274354;285108014,16;2023-04-01
