;AnoMes;Municipio_Ibge;Municipio;Estado_Ibge;Estado;Sigla_Regiao;Regiao;VL_PagadorPF;QT_PagadorPF;VL_PagadorPJ;QT_PagadorPJ;VL_RecebedorPF;QT_RecebedorPF;VL_RecebedorPJ;QT_RecebedorPJ;QT_PES_PagadorPF;QT_PES_PagadorPJ;QT_PES_RecebedorPF;QT_PES_RecebedorPJ;data
0;202202;3103306,0;ARACITABA;31,0;MINAS GERAIS;SE;SUDESTE;853044,02;2895;440328,11;127;1098121,84;2354;488297,6;144;376;22;401;17;2022-02-01
1;202202;3171105,0;VERÍSSIMO;31,0;MINAS GERAIS;SE;SUDESTE;2141893,01;9244;3335786,31;760;2201968,47;7129;1552221,69;770;898;42;954;47;2022-02-01
2;202202;2925709,0;PRESIDENTE JÂNIO QUADROS;29,0;BAHIA;NE;NORDESTE;5388956,98;23103;617687,74;691;5243083,89;18616;550533,19;1407;2350;73;2387;64;2022-02-01
3;202202;2913101,0;IBITITÁ;29,0;BAHIA;NE;NORDESTE;9481626,05;42016;774301,63;693;10522359,96;38330;597764,18;1986;3750;64;3985;61;2022-02-01
4;202202;3157401,0;SANTA CRUZ DO ESCALVADO;31,0;MINAS GERAIS;SE;SUDESTE;5120857,95;11441;1272922,33;676;3762523,6;7807;840806,36;613;1138;46;1113;45;2022-02-01
5;202202;3502002,0;ANALÂNDIA;35,0;SÃO PAULO;SE;SUDESTE;4428204,84;15249;1998651,76;1422;6115607,43;13107;2864064,67;2580;1656;130;1547;119;2022-02-01
6;202202;3127057,0;FRONTEIRA DOS VALES;31,0;MINAS GERAIS;SE;SUDESTE;2029195,63;8925;107777,65;126;1958372,09;7940;100000,09;260;982;15;980;19;2022-02-01
7;202202;5101852,0;BOM JESUS DO ARAGUAIA;51,0;MATO GROSSO;CO;CENTRO-OESTE;9462351,66;26411;3509710,5;2329;8453206,39;21476;2209305,75;4738;2265;165;2165;161;2022-02-01
8;202202;4121604,0;RENASCENÇA;41,0;PARANÁ;SU;SUL;5343894,01;15725;4760785,04;2521;5669669,8;12162;4253522,04;3850;1879;202;1698;201;2022-02-01
9;202202;4211876,0;PAIAL;42,0;SANTA CATARINA;SU;SUL;953020,28;2053;545389,12;209;787031,55;1611;305694,7;197;337;25;306;26;2022-02-01
