;Indicador;Data;Reuniao;Media;Mediana;DesvioPadrao;Minimo;Maximo;numeroRespondentes;baseCalculo
0;Selic;2024-11-08;R7/2026;10,1442;10,0;0,8665;8,75;13,0;26;1
1;Selic;2024-11-08;R7/2026;10,1442;10,0;0,8665;8,75;13,0;26;0
2;Selic;2024-11-08;R6/2026;10,256;10,0;0,925;8,75;13,0;42;1
3;Selic;2024-11-08;R6/2026;10,2161;10,0;0,9785;8,75;13,0;118;0
4;Selic;2024-11-08;R5/2026;10,4167;10,375;0,9677;8,75;13,0;42;1
5;Selic;2024-11-08;R5/2026;10,3688;10,25;0,9832;8,75;13,0;120;0
6;Selic;2024-11-08;R4/2026;10,6131;10,5;0,9943;8,75;13,0;42;1
7;Selic;2024-11-08;R4/2026;10,5475;10,5;0,9782;8,75;13,0;121;0
8;Selic;2024-11-08;R3/2026;10,8721;10,75;1,0221;9,25;13,0;43;1
9;Selic;2024-11-08;R3/2026;10,7889;10,5;0,9871;9,0;13,0;122;0
10;Selic;2024-11-08;R2/2026;11,1919;11,25;1,0199;9,5;13,0;43;1
11;Selic;2024-11-08;R2/2026;11,0574;11,0;0,9932;9,0;13,0;122;0
12;Selic;2024-11-08;R1/2026;11,5465;11,5;1,0105;9,75;13,25;43;1
13;Selic;2024-11-08;R1/2026;11,3699;11,25;0,9703;9,0;13,25;123;0
14;Selic;2024-11-08;R8/2025;11,8676;12,0;0,9794;10,0;13,5;51;1
15;Selic;2024-11-08;R8/2025;11,6978;11,5;0,9255;9,75;13,75;139;0
16;Selic;2024-11-08;R7/2025;12,148;12,25;0,8688;10,5;13,5;49;1
17;Selic;2024-11-08;R7/2025;11,9444;12,0;0,8409;10,0;14,0;135;0
18;Selic;2024-11-08;R6/2025;12,3622;12,5;0,7407;11,0;13,5;49;1
19;Selic;2024-11-08;R6/2025;12,1796;12,25;0,7358;10,25;14,25;135;0
20;Selic;2024-11-08;R5/2025;12,5051;12,5;0,5987;11,5;13,5;49;1
21;Selic;2024-11-08;R5/2025;12,337;12,5;0,6253;10,5;14,25;135;0
22;Selic;2024-11-08;R4/2025;12,6071;12,5;0,5;11,75;13,5;49;1
23;Selic;2024-11-08;R4/2025;12,4241;12,5;0,5522;10,75;14,25;135;0
24;Selic;2024-11-08;R3/2025;12,5816;12,5;0,4557;11,75;13,5;49;1
25;Selic;2024-11-08;R3/2025;12,4222;12,5;0,4976;11,0;14,0;135;0
26;Selic;2024-11-08;R2/2025;12,4796;12,5;0,3493;11,75;13,25;49;1
27;Selic;2024-11-08;R2/2025;12,3611;12,5;0,4022;11,25;13,5;135;0
28;Selic;2024-11-08;R1/2025;12,195;12,25;0,1753;11,75;12,75;50;1
29;Selic;2024-11-08;R1/2025;12,1379;12,25;0,2384;11,25;12,75;136;0
30;Selic;2024-11-08;R8/2024;11,7549;11,75;0,0604;11,5;12,0;51;1
31;Selic;2024-11-08;R8/2024;11,7324;11,75;0,1281;11,25;12,25;142;0
32;Selic;2024-11-07;R7/2026;10,3333;10,0;0,4714;10,0;11,0;3;1
33;Selic;2024-11-07;R7/2026;10,3333;10,0;0,4714;10,0;11,0;3;0
34;Selic;2024-11-07;R6/2026;10,2077;10,0;1,0933;8,25;13,0;71;1
